scenario,separation_mm,field_loss_db,coupling_loss_db,L_installed_uH,Q_loaded,f0_installed_MHz,detune_loss_db,nfc_margin_proxy_db,prior_uncertainty_db
FREE_AIR,2,0.0,0.0,1.6735902783953596,19.018122185718784,13.56,0.0,0.0,0.0
ZETLAND_BASELINE,42,-20.742190142827788,-26.489263292331437,1.6735902783953596,19.018122185718784,13.56,0.0,-26.489263292331437,0.0
ZETLAND_FRAME,42,-20.776628816731403,-26.521666394299302,1.6728060374499205,18.968336480507787,13.563178211007893,-0.00034334576996881847,-26.533393622742175,0.8197852451209858
ZETLAND_LOCK_NEAR,42,-22.73105369028295,-28.371578370503467,1.6330305053451657,16.738016756673126,13.727362838168277,-0.684504524024162,-29.610719244342036,1.8232633943900718
ZETLAND_LOCK_FRAME,42,-22.76549236418656,-28.40398147247133,1.632265270625548,16.679120730829208,13.730580275902911,-0.7044203186566658,-29.678346600874733,1.9990841036436864
ZETLAND_LOCK_FERRITE_03,42,-21.495485631744526,-27.554747293416423,1.7983242292285688,18.588412764917898,13.081280670124707,-4.3498555638370675,-32.00385611369982,1.6891753727117327
ZETLAND_LOCK_FERRITE_05,42,-21.211624115456576,-27.367446753366295,1.8387559594299925,19.066540893667014,12.93666151607495,-6.098915881753308,-33.4553198754826,1.6883535955704951
ZETLAND_LOCK_FRAME_FERRITE_05,42,-21.24197315180771,-27.396208590267854,1.8380840790972275,19.00967442122411,12.939025688202685,-6.0545137468241395,-33.452651882262714,1.8758320099530335
WORST_STEEL,53,-53.31473364723201,-54.96370968585198,1.3238099102107297,10.848160198240892,15.246545276131995,-9.181335789659046,-66.58316090898404,5.55
