variable,spearman_rho,importance_abs_rho
antenna_L_tolerance_fraction,-0.7557232748078297,0.7557232748078297
door_thickness_mm,-0.3824770919979805,0.3824770919979805
phone_offset_mm,-0.2740798014443065,0.2740798014443065
matching_C_tolerance_fraction,-0.2728768978311791,0.2728768978311791
ferrite_thickness_mm,-0.08526221893209647,0.08526221893209647
ferrite_mu_prime,-0.079311221743904,0.079311221743904
lock_distance_mm,0.04343672460883653,0.04343672460883653
Q_multiplier,-0.042360112750078296,0.042360112750078296
steel_area_scale,0.03844724197725137,0.03844724197725137
metal_prior_scale,0.012442453085036864,0.012442453085036864
phone_angle_deg,0.008871526994115968,0.008871526994115968
