ferrite_class,thickness_mm,coupling_loss_db,recovery_vs_Z4_db,L_uH,Q_loaded,f0_MHz,detune_loss_db
low,0,-28.40398147247133,0.0,1.632265270625548,16.679120730829208,13.730580275902911,-0.7044203186566658
low,0.2,-27.902667711947615,0.5013137605237148,1.7307815798485786,17.76953587825669,13.33408224409341,-1.3052196920719752
low,0.3,-27.7417179313387,0.6622635411326279,1.7637838434972575,18.147371717350097,13.208745780963648,-2.7506162184557246
low,0.5,-27.528382426541324,0.8755990459300058,1.8085996847349814,18.67159363891719,13.044067465268192,-4.798316134746928
low,0.8,-27.36526630872366,1.0387151637476713,1.8437117017201659,19.09184430417083,12.919263486981965,-6.289334796835268
low,1.0,-27.31105178835658,1.0929296841147504,1.8555474852446705,19.2354899112803,12.877994205276275,-6.761347406072895
medium,0,-28.40398147247133,0.0,1.632265270625548,16.679120730829208,13.730580275902911,-0.7044203186566658
medium,0.2,-27.75380888360866,0.6501725888626702,1.7619741434732024,18.117964982849806,13.215527302974232,-2.665520384283824
medium,0.3,-27.584215033275793,0.8197664391955364,1.7976311373739973,18.530940749123122,13.083802226171603,-4.303956186733178
medium,0.5,-27.396208590267854,1.0077728822034757,1.8380840790972275,19.00967442122411,12.939025688202685,-6.0545137468241395
medium,0.8,-27.289245966954745,1.1147355055165846,1.8615427078850084,19.292544567526605,12.8572402616463,-6.988687194851126
medium,1.0,-27.26367805301445,1.140303419456881,1.8671985562421478,19.361343431215623,12.837752845136805,-7.2047855758017985
high,0,-28.40398147247133,0.0,1.632265270625548,16.679120730829208,13.730580275902911,-0.7044203186566658
high,0.2,-27.657845254489875,0.746136217981455,1.7822474209196364,18.34935760767543,13.140148227018576,-3.6005218466380136
high,0.3,-27.493658369776107,0.910323102695223,1.8172300871827978,18.758442924451582,13.013056111209867,-5.171849357055728
high,0.5,-27.335666399224657,1.0683150732466729,1.8516018051337453,19.168499371551285,12.891708116255614,-6.5990135734517175
high,0.8,-27.264679984959187,1.1393014875121423,1.867275855427159,19.358289638259865,12.837487121649934,-7.206263234991473
high,1.0,-27.25177361222346,1.15220786024787,1.8701411752079045,19.39317956811435,12.827648932304992,-7.314362759193958
