door_thickness_mm,lock_distance_mm,steel_area_scale,ferrite_thickness_mm,ferrite_mu_prime,phone_offset_mm,phone_angle_deg,antenna_L_tolerance_fraction,Q_multiplier,matching_C_tolerance_fraction,metal_prior_scale,coupling_margin_db,nfc_margin_proxy_db,installed_L_uH,installed_Q_loaded,installed_f0_MHz
39.791972993976955,6.424466584796202,1.089514224293817,0.3184714084419651,35.0,11.959355724818868,21.587450274784473,-0.041992681466797896,1.1939886193001759,-0.004536615010945469,0.9748008199035154,-29.608565834892573,-29.862281756636285,1.680433680848279,17.94016484225312,13.563161335220709
42.93778363602635,29.713717397321606,1.1492015934167474,0.5393190915262196,66.69690874270461,12.706470585901931,0.3765998148332237,0.01988015385770046,1.0020651652491714,0.010769873571784437,1.352194416223411,-30.191965185082346,-38.139307129647165,1.8689123112852586,20.143234938082227,12.763319906216603
36.30260727962779,16.21717273582015,0.724466872238762,0.5566448243657842,77.81874052663187,20.185088629619443,14.125342510171869,0.023965584447983246,1.2297856751864031,-0.03435220306451516,1.0284150051091325,-29.2729594188177,-34.80392074180615,1.884350222094559,20.84588853486931,13.004512401522677
37.77210203468903,16.963121134079756,0.7893911227087324,0.4508450985648481,96.15387482853814,30.626206704969704,9.91080986866045,0.020982770004582613,1.1097185283226592,-2.2500061331827032e-05,0.8197431019032314,-36.08611557726738,-43.73692628695522,1.8781902362729326,20.495747473670576,12.800276717457944
37.75715198678305,8.716452387485116,1.2418828325423905,0.3620450171961923,106.12155090527858,21.559025809552573,4.1369737293061615,0.05706366273186186,1.168044198348934,-0.03357364777420177,1.427185750537463,-31.806270058568842,-37.66884904368513,1.8953257859357453,19.425829369655073,12.961579988470689
38.38041345575517,6.725051324394326,1.161704099719251,0.45071872561352255,117.41555063703699,9.1102899473486,10.33274777220565,0.0709283818578411,1.1262679061009373,0.002558688058477753,1.151292680261498,-29.368384757871926,-39.27879561708369,1.95647485572119,19.97038829709149,12.525417878821852
36.38075339455579,29.716728882320663,1.2953069652775404,0.6693123473338993,99.03778961873792,4.706944171571491,15.40014574071885,-0.12,1.076149813482708,-0.016847362492058853,1.3002413463599232,-25.861488989761785,-28.06174104506701,1.6324514456688943,18.4298933024285,13.846934919331183
39.68934438136769,29.401150476630935,0.8409083877756993,0.5373402547620003,74.64746975537288,23.9280958234395,5.271431277227725,0.052410058174563304,1.2225861886155278,0.011439417167573036,0.9281157847267402,-32.47072901453395,-42.65509650402783,1.9377869977376547,21.79588389877287,12.53029528771945
40.53224114870396,20.84801045824556,0.9324178008010353,0.5134212417634598,121.76029411495497,12.337607972836274,1.465528796522289,0.10112251248675858,1.0138675809969049,0.011674561618103388,1.0602936245564991,-29.565531201820335,-41.78777676163914,2.0358454880718955,21.364129218330902,12.223383563302411
38.57410407948328,11.865205414879831,1.3813355444213786,0.3534080280088634,125.95369504661795,3.8609170510491864,6.866452129853872,0.029717109733733617,0.9161838511131781,-0.028736705232011855,0.930555345261233,-27.939709802283225,-33.587047221749906,1.881078322545576,19.094175238852795,12.978136396608354
41.164313120184644,9.953989004536945,0.8066991482645487,0.5976971389009225,98.65907926525311,17.347288411789698,14.610098241168066,-0.04358894172881585,0.6911205246933152,0.0004894409586358733,0.9841113464024247,-31.714000036087388,-34.976609547919814,1.7697534070934446,16.70000262322061,13.183223911669565
40.46066085295327,12.356163073873198,0.8309582279126886,0.6485310083601891,112.71744626077877,7.048847415934025,18.957512871157846,-0.08893834292449138,1.2463174359183182,0.016696136236055956,0.8750329520303675,-28.350858586801586,-29.556622181199735,1.6965691125479903,19.15552736360848,13.35681458201633
